대여소 그룹,대여소 명,대여 일자 / 월,대여 건수
강북구,1535. 효성인텔리안 앞,202102,777
강북구,1536. 번동 두산위브 101동 옆,202102,464
강북구,1537. 북한산 우이역,202102,273
강북구,1538. 솔밭공원역,202102,263
강북구,1539. 4.19민주묘지역,202102,326
강북구,1540. 가오리역,202102,503
강북구,1541. 삼양역,202102,156
강북구,1542. 삼양사거리역,202102,230
강북구,1543. 수유1동 주민센터,202102,323
강북구,1545. 솔샘역 2번 출구,202102,155
강북구,1546. 송천동우체국,202102,198
강북구,1547. 꿈의숲 롯데캐슬,202102,129
강북구,1548. 북서울 꿈의숲 서문,202102,461
강북구,1550.삼각산아이원아파트(105동 옆),202102,84
강북구,1551.4.19탑 앞,202102,262
강북구,1552. 강북구청사거리(던킨도너츠 앞),202102,671
강북구,1553.예수그리스도후기성도교회 앞,202102,293
강북구,1554.번동사거리,202102,375
강북구,1557.신창교,202102,635
강북구,1558.강북문화정보도서관,202102,114
강북구,1560. 도봉세무서 앞,202102,454
강북구,1564.4.19민주묘지역 1번출구,202102,395
강북구,1565.대한병원앞,202102,515
강북구,1568.4.19민주묘지 입구사거리,202102,315
강북구,1569.수유역2번출구,202102,884
강북구,1571.북서울 꿈의 숲 입구,202102,254
강북구,1572.우이산 입구,202102,39
강북구,1573.현대성우아파트 옆,202102,144
강북구,1574.송중초등학교 옆,202102,285
강북구,3703. 신성교회 앞,202102,76
강북구,3707. 드래곤타워 앞,202102,250
강북구,3711. 월계2교 교차로,202102,323
강북구,3714. 송천센트레빌,202102,113
강서구,1101. 개화동상사마을종점 버스정류장,202102,135
강서구,1102. 방화사거리 마을버스 버스정류장,202102,849
강서구,1103. 방화역 4번출구앞,202102,780
강서구,1105. 방화근린공원,202102,195
강서구,1106. 신방화사거리,202102,720
강서구,1108. 공항시장역 2번출구 뒤,202102,550
강서구,1109. 공항시장역 4번출구,202102,316
강서구,1110. 공항중학교앞,202102,331
강서구,1111. 마곡엠밸리6_7단지 마곡중학교,202102,531
강서구,1112. 마곡엠밸리4단지 정문,202102,1652
강서구,1113. 서남환경공원 버스정류장,202102,818
강서구,1114. 서남물재생센터 버스정류장,202102,2
강서구,1115. 등촌역 1번출구옆,202102,761
강서구,1117. 스타벅스앞,202102,1429
강서구,1118. 증미역 3번출구뒤(등촌두산위브센티움오피스텔),202102,1525
강서구,1119. 염창동 한마음아파트앞(염창동 빛나는 음악학원앞),202102,982
강서구,1120. 대림경동아파트앞,202102,944
강서구,1121. 가양레포츠센터앞,202102,663
강서구,1122. 황금내근린공원,202102,1272
강서구,1124. 발산역 6번 출구 뒤,202102,1861
강서구,1125. 명덕고교입구(영종빌딩),202102,1365
강서구,1126. 우장산역 1번출구옆(우장산아이파크105동앞),202102,631
강서구,1127. 화곡역(에이스정형외과앞) 버스정류장,202102,662
강서구,1128. 화곡역 6번출구,202102,666
강서구,1129. 화곡역 1번 출구 앞,202102,683
강서구,1130. 화곡본동시장 버스정류장,202102,235
강서구,1131. 꿈돌이공원 앞,202102,800
강서구,1132. 등촌역 7번출구,202102,903
강서구,1135. 강서구의회,202102,720
강서구,1136. 등촌2파출소,202102,376
강서구,1137. 등촌2동주민센터,202102,240
강서구,1139. 용문사 버스정류장,202102,621
강서구,1140. 목동사거리 버스정류장,202102,940
강서구,1141. 곰달래 문화복지센터 1-1,202102,683
강서구,1145. 곰달래 문화복지센터 1-2,202102,393
강서구,1146. 곰달래사거리,202102,652
강서구,1148. 볏골공원,202102,469
강서구,1149. 신방화역환승주차장,202102,1824
강서구,1150. 송정역 1번출구,202102,922
강서구,1151. 마곡역1번출구,202102,711
강서구,1152. 마곡역교차로,202102,2362
강서구,"1153. 발산역 1번, 9번 인근 대여소",202102,2512
강서구,1155. 기쁜우리복지관,202102,788
강서구,1157. 강서구청,202102,1093
강서구,1158. 가양역 8번출구,202102,2472
강서구,1159. 서서울모터리움앞,202102,506
강서구,1160. 양천향교역 7번출구앞,202102,2084
강서구,1161. 강서면허시험장앞,202102,189
강서구,1162. 공항초등학교건너편,202102,607
강서구,1163. 방화동강서기동대앞,202102,694
강서구,1165. 마곡중학교 후문,202102,359
강서구,1166. 강서구립등빛도서관,202102,1627
강서구,1167. 마곡수명산파크3단지 교차로,202102,1238
강서구,1168. 마곡엠밸리10단지 앞,202102,615
강서구,1169. 염창역 1번 출구,202102,807
강서구,1170. 강서구보건소 (삼성디지털 프라자),202102,543
강서구,1171. 염창동 새마을금고 건너편 (모닝글로리),202102,678
강서구,1172. 가양3동 주민센터,202102,768
강서구,1173. 강서구청사거리(SH타워),202102,1151
강서구,1174. 강서구청사거리(부민병원),202102,534
강서구,1175. 대한항공 인력개발센터,202102,598
강서구,1177. 수명중?고교,202102,544
강서구,1178. 개화산역 2번 출구,202102,428
강서구,1180. 마곡엠밸리 15단지(1502동) 건너편,202102,908
강서구,1181. 농수산식품공사 (강서지사),202102,174
강서구,1182. KBS 스포츠월드,202102,767
강서구,1183. KC 대학교,202102,237
강서구,1184. 마곡13단지,202102,1333
강서구,1185. 등촌9단지,202102,586
강서구,1186. 송정중학교,202102,367
강서구,1187. 강서수산물도매시장,202102,387
강서구,1188. 롯데중앙연구소,202102,100
강서구,1190. 마곡역 교차로(2번출구),202102,602
강서구,1191. 마곡역 교차로(NH농협),202102,1076
강서구,1192. 마곡수명산파크 209동 건너편,202102,651
강서구,1193. 마곡센트럴타워 1차,202102,1091
강서구,1194. 센서텍㈜,202102,449
강서구,1195. 코오롱One&Only타워,202102,782
강서구,1196. 서울식물원(문화센터) 건너편,202102,149
강서구,1197. 엠펠리체 호텔 건너편,202102,968
강서구,1198. LG 사이언스파크,202102,284
강서구,1199. 우장산역 3번출구,202102,808
강서구,1200. 개화광역환승센터,202102,122
강서구,2701. 마곡나루역 5번출구 뒤편,202102,2226
