,정류소명,X좌표,Y좌표
216,종로센트레빌아파트,127.0156407,37.58034969
217,가회동주민센터,126.9849331,37.5799374
218,문방구,126.9579492,37.6062969
219,원남로터리,126.9973507,37.57622486
220,보현산신각,126.9657637,37.61347641
221,천사유치원,126.9618149,37.57467705
222,쌍용아파트입구.창신역,127.0150007,37.58051063
223,아름다운가게.정독도서관,126.9850932,37.57891938
224,산정빌라,126.9574985,37.60515273
225,이화사거리,127.0021147,37.57647127
226,박종화고택입구,126.9676637,37.61433238
227,무악현대아파트후문,126.9619725,37.57630822
228,헌법재판소.안국역,126.9857196,37.57757327
229,청구빌라,126.9569707,37.60461247
230,서울대어린이병원응급실.갑상선센터,126.9994856,37.57815458
231,화인빌라,126.9685484,37.61297509
232,넓은마당,126.9628884,37.57527297
233,창신초등학교,127.015387,37.57690312
234,수운회관,126.9866595,37.57519246
235,상명대후문,126.9573503,37.6040312
236,힐탑,126.9690414,37.61163964
237,신학대학교총회본부,126.9634435,37.57397598
238,낙원상가,126.9874228,37.57372579
239,완성빌라,126.9575212,37.60340672
240,서울대병원장례식장,126.9974252,37.58053639
241,혜화역1번출구,127.0017606,37.58343559
242,감나무골공원,126.9699425,37.61240568
243,한국사회과학자료원,126.9640915,37.57365155
244,동묘역,127.0142449,37.5726953
245,금강제화,126.98757,37.57055096
246,경진빌라,126.9578485,37.60199096
247,성균관대학교앞,126.9992644,37.58337953
248,kt광화문지사,126.9772156,37.57190009
249,EN갤러리,126.9706926,37.61344769
250,종로문화센터,126.9645715,37.57466302
251,동대문역.2번출구,127.0117451,37.57198805
252,종각역YMCA,126.9853306,37.57027694
253,서교빌라,126.9571666,37.60203769
254,경복궁역,126.972396,37.57705527
255,연건동,127.0007564,37.57606354
256,성대입구,126.9989021,37.58323265
257,무애사,126.9718335,37.61390077
258,단군성전앞,126.9652997,37.57558773
259,동대문종합시장,127.0062452,37.57116462
260,상명초등학교,126.9566832,37.60093683
261,법련사,126.9795903,37.57658927
262,광화문새마을금고,126.9710253,37.57954714
263,성균관대학교,126.9971587,37.58501732
264,참샘골공원,126.9741219,37.61460832
265,활터앞,126.9653646,37.57685248
266,종로5가.3번출구,127.0019717,37.57142206
267,인사동들머리.3.1독립선언터,126.9832651,37.57202968
268,정독도서관,126.9800442,37.58021772
269,오거리.한옥마을입구,126.9697374,37.57951132
270,밀알기도원,126.9757357,37.61639742
271,종로1가,126.9804547,37.570265
272,종로도서관,126.9670812,37.57654334
273,종로사우나,126.9875872,37.57374132
274,엄마분식,126.9557385,37.60126624
275,삼청파출소,126.9812398,37.58168273
276,통인시장.종로구보건소,126.968674,37.58032702
277,종로5가역,127.0000159,37.57077778
278,평창공원지킴터입구,126.9770157,37.61727036
279,배화여중고,126.9678404,37.57676539
280,대학로입구.이화사거리,127.0025921,37.57608577
281,운현궁,126.9868071,37.57523204
282,상명대입구,126.9570083,37.6000343
283,삼청동주민센터,126.982067,37.58470051
284,박노수미술관,126.9669162,37.5810715
285,김창열.윤명로화실,126.9783839,37.61634256
286,사직동주민센터,126.9689265,37.57626303
287,충신시장,127.0054957,37.57502156
288,안국역2번출구앞,126.9860701,37.57715641
289,금융연수원,126.9817788,37.58586652
290,감람산기도원,126.9798977,37.61594859
291,카센터.터널앞,126.9658959,37.57409154
292,재동초등학교,126.9852803,37.57876787
293,삼청공원삼거리.옥호정터,126.9817114,37.58741767
294,이화사거리,127.0021613,37.57532444
295,연화정사,126.9795064,37.61465067
296,대신중고,126.9616841,37.57248345
297,현대사거리,126.9866293,37.57927377
298,교남동주민센터,126.9613244,37.57218653
299,부암동주민센터.무계원,126.9639626,37.59297029
300,형제봉입구,126.9816904,37.61286785
301,교남동새마을금고,126.9623511,37.57154717
302,창신초교,127.01556,37.57600289
303,가회동주민센터,126.9850463,37.57994426
304,볼링장,126.9879587,37.57928821
305,부암슈퍼,126.9637118,37.59475041
306,지구촌교회,126.9793714,37.61308365
307,월암공원,126.9640609,37.57120167
308,숭인1동주민센터,127.0154152,37.57740683
309,북촌한옥마을입구.정세권활동터,126.9850874,37.58128235
310,하림각,126.9629357,37.59766118
311,보현빌라,126.9782677,37.61527342
312,스위스대사관,126.9658537,37.57002014
313,안국선원.삼거리,126.9851065,37.58274414
314,세검정교회,126.9594376,37.59949975
315,혜화동로터리,127.001025,37.585841
316,김종영미술관,126.9781674,37.61328458
317,서울시교육청,126.966867,37.569301
318,창신쌍용1단지.종로센트레빌아파트,127.0155933,37.58032364
319,사우디대사관,126.9851204,37.58386431
320,상명대입구,126.9573863,37.5998416
321,혜화초등학교,126.9999339,37.58737916
322,북악파크,126.9778838,37.61096487
323,강북삼성병원,126.9683774,37.56855092
324,청룡사.보문파크뷰자이아파트,127.0170716,37.57980742
325,감사원,126.9855847,37.58630026
326,국민생활관,126.9992595,37.58961857
327,귀빈예식장,126.9732873,37.60904692
328,종로센트레빌후문.e편한세상보문아파트,127.0162427,37.58192679
329,통일부,126.9862356,37.58750461
330,서울국제고등학교,126.9971357,37.58907642
331,성대후문.와룡공원,126.9898018,37.58904414
332,상명초등학교,126.956804,37.60091032
333,새마을금고,126.996591,37.587869
334,경진빌라,126.9579113,37.60189002
335,명륜시장.성대후문,126.9952574,37.5887412
336,완성빌라,126.9576706,37.60334091
337,양현관,126.9937845,37.58977769
338,상명대후문,126.9574659,37.60407255
339,샘미용실,126.9934322,37.59026509
340,산정빌라,126.9575841,37.60528498
341,문방구,126.9579562,37.60615702
342,마트앞,126.9587519,37.60670367
343,국민은행.세검정지점,126.9608712,37.60491058
344,화정박물관,126.9656123,37.60496243
345,혜화역4번출구,127.0015413,37.5834723
346,방송통신대앞,127.0020673,37.57869836
347,서울대치과대학,126.9977684,37.57739445
348,효제초교.연동교회.김마리아활동터,127.002064,37.57364661
349,성균관대학교,126.9900098,37.58846735
350,독립문역,126.959303,37.57321672
351,서울대치과대학,126.9978353,37.57755076
352,이화사거리,127.0021044,37.57694962
353,서울대학교병원현관.암병원현관,126.9981605,37.57896524
354,종각.공평유적전시관,126.9830861,37.57159451
355,조계사,126.9829895,37.57386103
356,대학로,127.0020228,37.58188699
357,창경궁,126.9965212,37.57916918
358,창덕궁,126.990206,37.57743704
359,인사동.북촌,126.9838224,37.57585495
360,경복궁.국립민속박물관,126.979846,37.5801956
361,세종문화회관,126.9767655,37.57113398
362,통인시장,126.9713415,37.57912062
363,세종문화회관,126.9767311,37.57210934
364,종각역,126.9829141,37.56937833
365,인사동.탑골공원,126.988798,37.57014462
366,종묘.세운상가,126.9941937,37.5703916
367,광장시장,126.9996619,37.57075889
368,동묘.숭인동도깨비시장,127.0179931,37.57357278
369,서울풍물시장,127.0232491,37.57334204
370,청와대,126.9737047,37.58268388
371,남대문세무서.서울백병원,126.987458,37.5649827
372,서울백병원.국가인권위.안중근활동터,126.9878514,37.56435045
373,서울역버스환승센터,126.972591,37.55503906
374,서울역버스환승센터,126.9725522,37.55547764
375,서울역버스환승센터,126.9725603,37.55537624
376,서울역버스환승센터,126.9727727,37.55547526
377,서울역버스환승센터.강우규의거터,126.9727727,37.5554664
378,숭례문,126.9737883,37.55863332
379,서울시청,126.980633,37.56606406
380,만리동고개,126.9625261,37.55170287
381,손기정체육공원입구,126.9662684,37.55438998
382,"서울의료보건고등학교,서울역서부",126.9683795,37.5563011
383,서울역서부,126.9691952,37.55631975
384,서울역서부,126.9691859,37.55696436
385,중림동교차로,126.9692102,37.55838734
386,종근당.충정로역,126.96439,37.55961021
387,한국경제신문사.서소문역사공원,126.9678362,37.56046067
388,"한국경제신문사,서소문역사공원",126.9679823,37.56058349
389,경찰청.동북아역사재단,126.969006,37.56299314
390,서대문경찰서.농협은행.유관순활동터,126.9676563,37.56484788
391,염천교,126.9733639,37.55983746
392,숭례문,126.9732328,37.55801095
393,숭례문.한국일보,126.9738535,37.55870646
394,후암삼거리,126.976073,37.55332913
395,숭례문,126.9742235,37.55884151
396,숭례문,126.9740061,37.55859746
397,숭례문,126.973524,37.55805813
398,남대문시장악세사리전문상가,126.9759992,37.55857317
399,숭례문남산방향,126.975803,37.55859067
400,남대문시장,126.9800196,37.56132894
401,북창동.남대문시장,126.9779335,37.56108129
402,시청앞,126.9764872,37.56260691
403,삼성본관앞,126.9760491,37.56201768
404,시청앞,126.9763191,37.56272336
405,서소문,126.9748279,37.56330546
406,서소문,126.9753581,37.56364514
407,시청.서소문청사,126.9749714,37.56349625
408,서울신문사,126.9772705,37.56836368
409,우리은행종로지점,126.9827971,37.56752226
410,롯데백화점,126.9821793,37.56447124
411,해운센터.롯데영프라자,126.9816645,37.56285872
412,롯데영프라자,126.9819218,37.56300813
413,신세계앞,126.981632,37.560919
414,남대문시장.회현역,126.9800425,37.55949853
415,남대문시장.회현역,126.9783475,37.55855865
416,남산3호터널,126.9828004,37.55848656
