,자치구명,사용월,승차총승객수,하차총승객수
447,서초구,202002,14424461,13549306
448,서초구,202003,10977663,10354388
449,서초구,202004,11819633,11109629
450,서초구,202005,12926006,12115004
451,서초구,202006,14652154,13758494
452,서초구,202007,14943782,14009142
453,서초구,202008,13128509,12298818
454,서초구,202009,12010876,11292593
455,서초구,202010,12995977,12128899
456,서초구,202011,14140975,13217040
457,서초구,202012,10293825,9707983
458,서초구,202101,10489594,9922139
459,서초구,202102,12038786,11352121
460,서초구,202103,13251418,12457285
461,서초구,202104,13313198,12513578
462,서초구,202105,12966384,12182270
463,서초구,202106,13799025,12961795
464,서초구,202107,12436614,11707060
465,성동구,201901,6137253,6000341
466,성동구,201902,5901720,5772036
467,성동구,201903,6643049,6500176
468,성동구,201904,6730263,6593985
469,성동구,201905,6621735,6500112
470,성동구,201906,6559135,6452476
471,성동구,201907,6775316,6673920
472,성동구,201908,6425790,6339910
473,성동구,201909,6391582,6327011
474,성동구,201910,6547587,6484850
475,성동구,201911,6630603,6566950
476,성동구,201912,6558492,6488592
477,성동구,202001,5745580,5689614
478,성동구,202002,5549034,5495270
479,성동구,202003,4455159,4423428
480,성동구,202004,4708484,4684884
481,성동구,202005,5031522,5007827
482,성동구,202006,5475453,5440353
483,성동구,202007,5623433,5577639
484,성동구,202008,5108753,5063120
485,성동구,202009,4910780,4866826
486,성동구,202010,5014239,4938681
487,성동구,202011,5456005,5378481
488,성동구,202012,4228827,4178011
489,성동구,202101,4314357,4245504
490,성동구,202102,4737911,4687360
491,성동구,202103,5176364,5119362
492,성동구,202104,5291499,5240420
493,성동구,202105,5111382,5056103
494,성동구,202106,5384345,5312964
495,성동구,202107,5002153,4933454
496,성북구,201901,12731111,11990944
497,성북구,201902,12608074,11863933
498,성북구,201903,14841522,13853059
499,성북구,201904,15000089,14023985
500,성북구,201905,14819284,13874410
501,성북구,201906,14431896,13588630
502,성북구,201907,14000694,13226655
503,성북구,201908,13198829,12494190
504,성북구,201909,14090217,13252122
505,성북구,201910,14407995,13537987
506,성북구,201911,14863260,13965953
507,성북구,201912,14514413,13659917
508,성북구,202001,12111175,11413870
509,성북구,202002,11342588,10687950
510,성북구,202003,9231739,8697409
511,성북구,202004,9854306,9290832
512,성북구,202005,10675485,10050570
513,성북구,202006,11832203,11124504
514,성북구,202007,11696786,11017921
515,성북구,202008,10089737,9522055
516,성북구,202009,9851469,9272355
517,성북구,202010,10615035,9987546
